07/08/16 : [32.495714285714286, 35.714285714285715]
08/08/16 : [61.3609090909091, 61.54545454545455]
09/08/16 : [31.25, 31.5]
10/08/16 : [47.25, 47.5]
11/08/16 : [56.69857142857143, 58.57142857142857]
12/08/16 : [57.887142857142855, 58.142857142857146]
13/08/16 : [62.53857142857142, 63.285714285714285]
14/08/16 : [82.01571428571428, 81.42857142857143]
15/08/16 : [48.81428571428571, 49.142857142857146]
16/08/16 : [50.841818181818184, 52.81818181818182]
17/08/16 : [28.018571428571427, 30.285714285714285]
18/08/16 : [65.85333333333334, 66.0]
19/08/16 : [75.56428571428572, 75.28571428571429]
20/08/16 : [96.14285714285714, 92.0]
21/08/16 : [59.15428571428571, 57.0]
22/08/16 : [40.82363636363636, 43.09090909090909]
23/08/16 : [58.33857142857143, 60.42857142857143]
24/08/16 : [76.05142857142857, 74.71428571428571]
25/08/16 : [72.28714285714285, 71.42857142857143]
26/08/16 : [50.18, 51.0]
27/08/16 : [57.51, 58.57142857142857]
28/08/16 : [47.24428571428571, 48.0]
29/08/16 : [52.04, 54.142857142857146]
30/08/16 : [52.73142857142857, 54.142857142857146]
31/08/16 : [40.36571428571428, 42.42857142857143]
01/09/16 : [50.843636363636364, 51.45454545454545]
02/09/16 : [52.43142857142857, 52.57142857142857]
03/09/16 : [66.125, 66.5]
04/09/16 : [44.25, 44.5]
05/09/16 : [35.96909090909091, 37.45454545454545]
06/09/16 : [52.73428571428571, 52.857142857142854]
07/09/16 : [52.118571428571435, 53.0]
08/09/16 : [64.71142857142857, 64.85714285714286]
09/09/16 : [60.72714285714285, 62.42857142857143]
10/09/16 : [63.73857142857143, 63.857142857142854]
11/09/16 : [55.48285714285714, 56.142857142857146]
12/09/16 : [52.26142857142857, 55.714285714285715]
13/09/16 : [60.93727272727272, 62.90909090909091]
14/09/16 : [48.135714285714286, 50.57142857142857]
15/09/16 : [47.60142857142857, 49.857142857142854]
16/09/16 : [54.03857142857142, 57.57142857142857]
17/09/16 : [61.44857142857143, 61.42857142857143]
18/09/16 : [38.78142857142858, 39.0]
19/09/16 : [58.78454545454545, 59.0]
20/09/16 : [54.88285714285714, 55.0]
21/09/16 : [42.65, 45.0]
22/09/16 : [47.45428571428572, 50.0]
23/09/16 : [47.656666666666666, 50.5]
24/09/16 : [37.63333333333333, 40.666666666666664]
25/09/16 : [38.665, 41.5]
26/09/16 : [50.27166666666667, 54.833333333333336]
27/09/16 : [62.053999999999995, 63.3]
28/09/16 : [65.37, 65.5]
29/09/16 : [45.714999999999996, 46.333333333333336]
30/09/16 : [43.504999999999995, 44.666666666666664]
01/10/16 : [65.03333333333333, 66.16666666666667]
02/10/16 : [35.645, 38.0]
03/10/16 : [75.04166666666667, 74.5]
04/10/16 : [77.16900000000001, 77.5]
05/10/16 : [72.58, 72.83333333333333]
06/10/16 : [86.5, 85.14285714285714]
07/10/16 : [134.375, 124.25]
08/10/16 : [102.125, 100.25]
09/10/16 : [129.0, 121.0]
10/10/16 : [83.1875, 83.375]
11/10/16 : [105.625, 106.5]
12/10/16 : [97.57142857142857, 95.0]
13/10/16 : [82.875, 83.25]
14/10/16 : [71.75, 72.25]
15/10/16 : [90.5, 89.57142857142857]
16/10/16 : [91.875, 90.75]
17/10/16 : [102.42, 96.83333333333333]
18/10/16 : [100.16333333333334, 96.22222222222223]
19/10/16 : [111.44, 106.33333333333333]
20/10/16 : [111.15166666666669, 105.0]
21/10/16 : [143.601, 132.1]
22/10/16 : [150.85833333333332, 141.0]
23/10/16 : [177.485, 151.5]
24/10/16 : [161.76722222222222, 151.44444444444446]
25/10/16 : [155.93, 137.0]
26/10/16 : [132.464, 121.0]
27/10/16 : [91.18625, 88.875]
28/10/16 : [79.425, 79.0]
29/10/16 : [167.4572222222222, 176.38888888888889]
30/10/16 : [201.33777777777777, 197.44444444444446]
31/10/16 : [83.725, 79.0]
01/11/16 : [124.106, 113.2]
02/11/16 : [106.60000000000001, 101.5]
03/11/16 : [64.925, 65.5]
04/11/16 : [62.66444444444445, 62.94444444444444]
05/11/16 : [-1, -1]
06/11/16 : [89.625, 87.5]
07/11/16 : [153.69714285714286, 140.42857142857142]
08/11/16 : [190.41285714285712, 172.28571428571428]
09/11/16 : [205.28285714285715, 181.71428571428572]
10/11/16 : [214.45000000000002, 191.0]
11/11/16 : [187.71363636363637, 168.72727272727272]
12/11/16 : [189.85142857142858, 171.42857142857142]
13/11/16 : [135.32571428571427, 124.57142857142857]
14/11/16 : [184.9209090909091, 171.36363636363637]
15/11/16 : [195.08, 180.83333333333334]
16/11/16 : [154.94500000000002, 146.83333333333334]
17/11/16 : [174.46833333333333, 158.5]
18/11/16 : [178.1483333333333, 165.16666666666666]
19/11/16 : [212.6057142857143, 192.71428571428572]
20/11/16 : [224.48142857142855, 205.85714285714286]
21/11/16 : [222.25, 211.0]
22/11/16 : [218.5, 210.0]
23/11/16 : [233.375, 223.625]
24/11/16 : [229.125, 215.75]
25/11/16 : [192.375, 192.75]
26/11/16 : [272.125, 250.25]
27/11/16 : [231.25, 216.0]
28/11/16 : [244.38090909090909, 224.63636363636363]
29/11/16 : [184.48000000000002, 174.42857142857142]
