YEAR,MONTH,CITY,MAX,AVG,MIN
2011,JUL,HALDIA,32,30,28
2011,AUG,HALDIA,31,29,27
2011,SEP,HALDIA,31,28,26
2011,OCT,HALDIA,31,27,24
2011,NOV,HALDIA,29,25,21
2011,DEC,HALDIA,27,22,18
2012,JAN,HALDIA,26,21,17
2012,FEB,HALDIA,30,24,19
2012,MAR,HALDIA,34,28,23
2012,APR,HALDIA,35,30,27
2012,MAY,HALDIA,36,31,29
2012,JUN,HALDIA,36,32,30
2012,JUL,HALDIA,33,30,28
2012,AUG,HALDIA,31,29,27
2012,SEP,HALDIA,31,28,26
2012,OCT,HALDIA,31,26,23
2012,NOV,HALDIA,28,24,20
2012,DEC,HALDIA,27,22,17
2013,JAN,HALDIA,26,21,16
2013,FEB,HALDIA,30,24,19
2013,MAR,HALDIA,34,28,23
2013,APR,HALDIA,35,30,27
2013,MAY,HALDIA,34,30,28
2013,JUN,HALDIA,33,30,28
2013,JUL,HALDIA,32,30,28
2013,AUG,HALDIA,32,29,27
2013,SEP,HALDIA,32,29,27
2013,OCT,HALDIA,30,27,25
2013,NOV,HALDIA,28,24,20
2013,DEC,HALDIA,27,22,18
2014,JAN,HALDIA,27,21,17
2014,FEB,HALDIA,29,24,19
2014,MAR,HALDIA,34,28,23
2014,APR,HALDIA,37,32,27
2014,MAY,HALDIA,36,32,29
2014,JUN,HALDIA,35,32,30
2014,JUL,HALDIA,32,30,28
2014,AUG,HALDIA,32,29,27
2014,SEP,HALDIA,32,29,27
2014,OCT,HALDIA,31,27,24
2014,NOV,HALDIA,30,25,21
2014,DEC,HALDIA,27,22,17
2015,JAN,HALDIA,27,21,17
2015,FEB,HALDIA,31,25,19
2015,MAR,HALDIA,34,28,23
2015,APR,HALDIA,36,31,27
2015,MAY,HALDIA,37,32,29
2015,JUN,HALDIA,35,31,29
2015,JUL,HALDIA,33,30,28
2015,AUG,HALDIA,33,30,27
2015,SEP,HALDIA,34,30,27
2015,OCT,HALDIA,34,28,24
2015,NOV,HALDIA,32,26,21
2015,DEC,HALDIA,29,23,19
2016,JAN,HALDIA,29,22,17
2016,FEB,HALDIA,33,26,21
2016,MAR,HALDIA,36,29,24
2016,APR,HALDIA,39,32,28
2016,MAY,HALDIA,37,32,29
2016,JUN,HALDIA,37,32,29
2016,JUL,HALDIA,34,31,28
2016,AUG,HALDIA,33,29,27
2016,SEP,HALDIA,33,29,26
2016,OCT,HALDIA,33,28,24
2016,NOV,HALDIA,30,24,19
2016,DEC,HALDIA,29,22,17
2017,JAN,HALDIA,29,21,16
2017,FEB,HALDIA,33,24,18
2017,MAR,HALDIA,34,27,22
2017,APR,HALDIA,36,30,27
2017,MAY,HALDIA,37,32,29
2017,JUN,HALDIA,36,32,29
2017,JUL,HALDIA,34,30,28
2017,AUG,HALDIA,33,30,28
2017,SEP,HALDIA,33,30,27
2017,OCT,HALDIA,31,27,25
2017,NOV,HALDIA,29,24,21
2017,DEC,HALDIA,27,23,19
2018,JAN,HALDIA,27,21,16
2018,FEB,HALDIA,32,25,21
2018,MAR,HALDIA,35,29,24
2018,APR,HALDIA,36,30,27
2018,MAY,HALDIA,35,31,28
2018,JUN,HALDIA,37,33,30
2018,JUL,HALDIA,33,30,28
2018,AUG,HALDIA,33,30,28
2018,SEP,HALDIA,32,29,27
2018,OCT,HALDIA,33,30,25
2018,NOV,HALDIA,32,29,24
2018,DEC,HALDIA,27,24,20
2019,JAN,HALDIA,29,25,20
2019,FEB,HALDIA,32,28,22
2019,MAR,HALDIA,34,30,25
2019,APR,HALDIA,36,33,28
2019,MAY,HALDIA,37,34,29
2019,JUN,HALDIA,36,33,29
2019,JUL,HALDIA,34,32,29
